Van,An,Binh,Chi,Dung,Em,Phong
27300,10680.01,8782.48,8820.21,9859.64,10975.21,10882.45
27400,10510.01,8642.48,9100.21,9719.64,11045.21,10982.45
27500,11017.57,8446.94,8840.21,9849.64,11003.18,10842.45
27600,11169.41,8431.21,8674.10,9679.64,11193.18,10852.45
27700,11273.30,8527.31,8534.10,9719.64,11173.18,10772.45
27800,11298.30,8732.31,8424.10,9609.64,11123.18,10812.45
27900,11428.30,9012.31,8344.10,9439.64,11103.18,10672.45
28000,11423.30,9022.31,8324.10,9464.64,11113.18,10652.45
28100,11493.30,9182.31,8244.10,9444.64,10973.18,10662.45
28200,11500.93,9072.31,8406.48,9454.64,10923.18,10642.45
28300,11450.93,9187.31,8341.48,9494.64,10963.18,10562.45
28400,11340.93,9257.31,8231.48,9534.64,11093.18,10542.45
28500,11440.93,9387.31,8241.48,9454.64,11043.18,10432.45
28600,11330.93,9427.31,8281.48,9704.64,10993.18,10262.45
28700,11340.93,9407.31,8201.48,9774.64,10913.18,10362.45
28800,11380.93,9387.31,8181.48,9904.64,10833.18,10312.45
28900,11390.93,9427.31,8131.48,9929.64,10828.18,10292.45
29000,11310.93,9407.31,8171.48,9999.64,10808.18,10302.45
29100,11290.93,9537.31,8151.48,9919.64,10848.18,10252.45
29200,11150.93,9727.31,8161.48,9959.64,10738.18,10262.45
29300,11280.93,9557.31,8141.48,10089.64,10718.18,10212.45
29400,11170.93,9597.31,8091.48,10219.64,10728.18,10192.45
29500,11210.93,9667.31,8146.48,10169.64,10618.18,10187.45
29600,11160.93,9617.31,8036.48,10179.64,10598.18,10407.45
29700,11110.93,9447.31,8016.48,10219.64,10698.18,10507.45
29800,11210.93,9187.31,7996.48,10289.64,10708.18,10607.45
29900,11370.93,9137.31,7826.48,10419.64,10628.18,10617.45
30000,11440.93,9147.31,7746.48,10189.64,10698.18,10777.45
30100,11480.93,9037.31,7816.48,10199.64,10738.18,10727.45
30200,11518.93,9137.31,7586.48,10089.64,10628.18,11039.45
30300,11468.93,9057.31,7596.48,10279.64,10458.18,11139.45
30400,11538.93,8947.31,7546.48,10409.64,10708.18,10849.45
30500,11638.93,9047.31,7556.48,10329.64,10598.18,10829.45
30600,11556.63,9072.61,7688.48,10354.64,10548.18,10779.45
30700,11731.63,8992.61,7668.48,10334.64,10528.18,10744.45
30800,11795.55,9035.18,7708.48,10348.15,10538.18,10574.45
30900,11835.55,9285.18,7508.48,10388.15,10518.18,10464.45
31000,11785.55,9175.18,7548.48,10278.15,10468.18,10744.45
31100,11855.55,9215.18,7408.48,10228.15,10478.18,10814.45
31200,11955.55,9105.18,7358.48,10238.15,10518.18,10824.45
31300,11875.44,9085.18,7428.48,10248.26,10708.18,10654.45
31400,12035.44,9215.18,7378.48,10228.26,10658.18,10484.45
31500,12069.34,9195.18,7570.67,10209.51,10699.99,10255.32
31600,12111.52,9142.99,7610.67,10279.51,10739.99,10115.32
31700,12174.88,9157.07,7650.67,10382.07,10659.99,9975.32
31800,12034.88,9107.07,7840.67,10482.07,10519.99,10015.32
31900,11984.88,9087.07,7970.67,10492.07,10649.99,9815.32
32000,11874.88,8902.07,7995.67,10682.07,10689.99,9855.32
32100,11852.69,8822.07,8185.67,10604.26,10789.99,9745.32
32200,11742.69,8712.07,8210.67,10869.26,10919.99,9545.32
32300,11902.69,8602.07,8190.67,10759.26,11139.99,9405.32
32400,11882.69,8582.07,8230.67,10739.26,10999.99,9565.32
32500,11622.69,8562.07,8270.67,10809.26,11099.99,9635.32
32600,11572.69,8842.07,8385.67,10819.26,10959.99,9420.32
32700,11580.20,8672.07,8336.91,10889.26,11211.24,9310.32
32800,11560.20,8652.07,8316.91,10779.26,11191.24,9500.32
32900,11569.83,8722.07,8297.29,10834.26,11096.24,9480.32
33000,11489.83,9032.07,8187.29,10784.26,11046.24,9460.32
33100,11649.83,8952.07,8527.29,10674.26,10786.24,9410.32
33200,11599.83,8932.07,8447.29,10504.26,10946.24,9570.32
33300,11608.96,8882.07,8277.29,10424.26,10957.10,9850.32
33400,11498.96,8892.07,8317.29,10524.26,11057.10,9710.32
33500,11463.96,8782.07,8372.29,10714.26,10977.10,9690.32
33600,11368.96,8942.07,8337.29,10634.26,10867.10,9850.32
33700,11348.96,8922.07,8317.29,10674.26,10967.10,9770.32
33800,11298.96,8902.07,8312.29,10624.26,11052.10,9810.32
33900,11338.96,8882.07,8037.29,10724.26,11062.10,9955.32
34000,11198.96,8892.07,8227.29,10434.26,11102.10,10145.32
34100,11058.96,8872.07,8267.29,10324.26,11292.10,10185.32
34200,11214.69,8837.07,8202.29,10364.26,11122.10,10259.59
34300,11162.88,9087.07,8212.29,10524.26,10833.91,10179.59
34400,11232.39,9097.07,8132.77,10414.26,10813.91,10309.59
34500,11332.39,9017.07,7992.77,10364.26,10913.91,10379.59
34600,11372.39,8817.07,8002.77,10374.26,10953.91,10479.59
34700,11592.39,8677.07,8102.77,10414.26,10753.91,10459.59
34800,11452.39,8837.07,8202.77,10394.26,10673.91,10439.59
34900,11372.39,8877.07,8242.77,10494.26,10593.91,10419.59
35000,11232.39,8707.07,8252.77,10504.26,10843.91,10459.59
35100,11092.39,8597.07,8202.77,10484.26,11153.91,10469.59
35200,10922.39,8577.07,8302.77,10524.26,11193.91,10479.59
35300,11082.39,8497.07,8372.77,10504.26,11143.91,10399.59
35400,11134.45,8447.07,8427.77,10214.26,11216.86,10559.59
35500,11039.45,8367.07,8407.77,10389.26,11076.86,10719.59
35600,10929.45,8227.07,8297.77,10669.26,11176.86,10699.59
35700,10939.45,8147.07,8217.77,10799.26,11066.86,10829.59
35800,10948.02,8157.07,8109.21,10899.26,11106.86,10779.59
35900,11078.02,8257.07,8089.21,10729.26,11056.86,10789.59
36000,11054.50,8117.07,8159.21,10799.26,11036.86,10833.10
36100,11184.50,8052.07,8199.21,10644.26,11016.86,10903.10
36200,11344.50,7972.07,8209.21,10594.26,11056.86,10823.10
36300,11294.50,8027.07,8039.21,10754.26,11051.86,10833.10
36400,11243.72,7797.07,8229.69,10584.56,11181.86,10963.10
36500,11223.72,7867.07,8149.69,10564.56,11101.86,11093.10
36600,11143.72,7877.07,8159.69,10574.56,10976.86,11268.10
36700,11063.72,7797.07,8019.69,10524.56,10986.86,11608.10
36800,10953.72,7867.07,7909.69,10504.56,11116.86,11648.10
36900,10843.72,7787.07,7799.69,10544.56,11366.86,11658.10
37000,10793.72,8157.07,7719.69,10494.56,11376.86,11458.10
37100,10863.61,8227.18,7729.69,10474.56,11206.86,11498.10
37200,10693.61,8207.18,7739.69,10604.56,11216.86,11538.10
37300,10823.61,8067.18,7719.69,10734.56,11226.86,11428.10
37400,10743.50,8047.18,7699.69,10954.67,11266.86,11288.10
37500,10783.50,8057.18,7739.69,10904.67,11306.86,11208.10
37600,10763.50,8157.18,7539.69,11004.67,11226.86,11308.10
37700,10833.40,8227.29,7489.69,10834.67,11206.86,11408.10
37800,10841.59,8087.29,7531.50,11039.67,11036.86,11463.10
37900,10806.59,8337.29,7631.50,10869.67,11121.86,11233.10
38000,11086.59,8227.29,7551.50,11029.67,11041.86,11063.10
38100,11121.64,8117.29,7576.50,11042.04,10916.86,11225.67
38200,11040.59,8217.29,7587.56,11022.04,10686.86,11445.67
38300,11050.59,8107.29,7597.56,11002.04,10666.86,11575.67
38400,11060.59,8177.29,7607.56,10922.04,10556.86,11675.67
38500,10980.59,8097.29,7527.56,11112.04,10626.86,11655.67
38600,10900.59,8227.29,7627.56,11062.04,10546.86,11635.67
38700,10910.59,8237.29,7667.56,10982.04,10586.86,11615.67
38800,10890.59,8037.29,7647.56,11142.04,10746.86,11535.67
38900,11050.59,8047.29,7627.56,10972.04,10846.86,11455.67
39000,11030.59,7997.29,7577.56,11072.04,10886.86,11435.67
39100,11070.59,8037.29,7437.56,11172.04,10956.86,11325.67
39200,11170.59,8017.29,7387.56,11152.04,10936.86,11335.67
39300,11150.59,7967.29,7517.56,11162.04,10976.86,11225.67
39400,10920.59,8067.29,7377.56,11352.04,10806.86,11475.67
39500,10990.59,8047.29,7207.56,11392.04,10666.86,11695.67
39600,10730.59,7937.29,7157.56,11462.04,10916.86,11795.67
39700,10740.59,7857.29,7197.56,11532.04,10896.86,11775.67
39800,10806.89,7687.29,7121.26,11332.04,11266.86,11785.67
39900,10696.89,7607.29,7311.26,11432.04,11216.86,11735.67
40000,10709.45,7734.72,7291.26,11352.04,11226.86,11685.67
40100,11023.91,7710.26,7211.26,11452.04,11056.86,11545.67
40200,11063.91,7750.26,7251.26,11402.04,11006.86,11525.67
40300,11103.91,7820.26,7231.26,11382.04,10986.86,11475.67
40400,11233.91,7755.26,7241.26,11332.04,10996.86,11440.67
40500,11183.91,7885.26,7191.26,11312.04,10886.86,11540.67
40600,11257.61,7951.56,7201.26,11352.04,10806.86,11430.67
40700,11147.61,8021.56,7211.26,11272.04,10936.86,11410.67
40800,11157.61,8151.56,7221.26,11192.04,10856.86,11420.67
40900,11167.61,8161.56,7291.26,10992.04,10986.86,11400.67
41000,11207.61,8171.56,7181.26,11182.04,10936.86,11320.67
41100,11247.61,7911.56,7311.26,11162.04,10976.86,11390.67
41200,11167.61,7831.56,7351.26,11262.04,10956.86,11430.67
41300,11147.61,7931.56,7181.26,11302.04,10996.86,11440.67
